feature,avg_importance,consistency,models_used
h2h_total_away,0.01847026861893634,0.3782318801902924,6
away_odds,0.015029045442740122,0.4633114106689482,6
away_implied_prob,0.014799284283071756,0.7270201999828437,6
h2h_total_home,0.014550773659721017,0.4289602113598767,6
away_goals_against_avg,0.014071045288195213,0.2831450372523484,6
home_implied_prob,0.013674574360872308,0.5170529245578335,6
home_goals_for_avg,0.01202248673265179,0.7894711592327034,6
draw_implied_prob,0.011989671116073927,0.7442719377772302,6
btts_likelihood,0.011547122849151492,0.5534537630625187,6
home_goals_against_avg,0.011543649093558392,0.7979133823284427,6
away_goal_difference,0.011325126281008124,0.5923761013191665,6
draw_odds,0.011007699882611632,0.7108762475960733,6
away_goals_against_total,0.010991117296119532,0.7651504479167832,6
home_goal_difference,0.010945781677340468,0.6871896255797484,6
market_entropy,0.010831463383510709,0.8027082259863202,6
expected_total_goals,0.010789723756412664,0.5811966612281918,6
home_draws_total,0.010681548854336143,0.6817701046505177,6
away_last5_goals_against,0.010550678397218386,0.1871288003106225,6
home_for_over15_rate,0.01040643189723293,0.8734129804358778,6
home_for_over25_rate,0.010143278477092585,0.8378469496993897,6
away_form_win_rate,0.00990514379615585,0.7501920848974466,6
away_against_over05_rate,0.009699201444163918,0.8504472443859066,6
h2h_def_away,0.009679491554076472,0.6056037391343648,6
h2h_advantage_home,0.00965107069350779,0.7146695529613427,6
bookmaker_margin,0.009499297477304935,0.8516268781669,6
h2h_att_away,0.009413909943153461,0.7112829715412906,6
away_against_over35_rate,0.009405776392668486,0.9107763058618443,6
h2h_avg_total_goals,0.009341229684650898,0.8000932498515142,6
away_against_over15_rate,0.009322641650214791,0.731679360415167,6
away_wins_total,0.009247609258939823,0.7697267431755699,6
away_fail_to_score_rate,0.009220340133955082,0.6974845826008256,6
home_against_over25_rate,0.009145945310592651,0.7682222849651742,6
home_form_points_rate,0.009034493860478202,0.8626642554855077,6
home_against_over15_rate,0.008990892519553503,0.830874060580844,6
h2h_home_avg_goals,0.008969954370210568,0.7785636526801144,6
home_goals_against_total,0.008967536346366009,0.8266313315638465,6
h2h_form_home,0.008821847615763545,0.8035147709978974,6
home_home_win_rate,0.008816485526040196,0.8260614977715836,6
away_for_over15_rate,0.008777233849590024,0.7905183769658651,6
h2h_home_wins,0.008770048075045148,0.7513767106758124,6
home_for_over35_rate,0.008765286765992641,0.8702645464866525,6
h2h_goals_away,0.008761652124424776,0.7596875889652744,6
home_last5_goals_for_avg,0.008754223895569643,0.7797121514687166,6
away_form_points_rate,0.00874139399578174,0.9500259554759732,6
away_for_over35_rate,0.008710957442720732,0.8818545268291043,6
h2h_away_avg_goals,0.008709742532422146,0.9095389404569763,6
home_for_over05_rate,0.00864231555412213,0.8290081079972755,6
home_attack_vs_away_defense,0.008600533862287799,0.8402050094423961,6
away_against_over25_rate,0.00859950901940465,0.782504920892446,6
away_last5_def,0.008540327195078135,0.9638027649152862,6
home_against_over05_rate,0.008538218447938561,0.8195484854156487,6
home_biggest_loss_streak,0.00853755014638106,0.8710989435501966,6
